County,Pop,Pop_65,Pop_AA,Pop_H,Smoking,Obesity,Diabetes,HIV,uninsured,Med_HHI,Unemployment,PCP_num,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,uninsured_num,Year,psed,Access_healthy_foods_%,Limited_healthy_food
Rowan,140798,14.9,15.7,6.8,26,32,12,212,23,38658,8772,67,20978.902,22105.286,9574.264,36607.48,44351.37,16895.76,32383.54,2012,17827,73,38437.854
Rutherford,63415,17.3,11,2.5,25,31,12,90,25,35057,4273,46,10970.795,6975.65,1585.375,15853.75,19404.99,7609.8,15853.75,2012,8435,71,18136.69
Sampson,63713,13.2,27.8,17,19,36,12,250,27,37047,2739,27,8410.116,17712.214,10831.21,12105.47,22872.967,7645.56,17202.51,2012,7153,50,31856.5
Scotland,36292,12.9,38.3,1.5,26,36,15,381,23,31805,2248,31,4681.668,13899.836,544.38,9435.92,13101.412,5443.8,8347.16,2012,3880,50,18146
Stanly,59794,15.7,11.8,3.6,28,26,11,137,23,42854,3676,27,9387.658,7055.692,2152.584,16742.32,15785.616,6577.34,13752.62,2012,7768,71,17101.084
Stokes,46150,15.9,5,2.6,36,28,10,79,20,43178,2476,8,7337.85,2307.5,1199.9,16614,12829.7,4615,9230,2012,5508,38,28843.75
Surry,72496,16.9,4.1,9.9,27,31,13,82,26,36622,3915,59,12251.824,2972.336,7177.104,19573.92,22763.744,9424.48,18848.96,2012,9528,56,32188.224
Swain,13404,17.5,1.9,3,32,32,14,108,26,36109,880,16,2345.7,254.676,402.12,4289.28,4289.28,1876.56,3485.04,2012,1897,67,4463.532
Transylvania,30203,25,5.3,1.6,19,24,10,84,22,40652,1243,28,7550.75,1600.759,483.248,5738.57,7188.314,3020.3,6644.66,2012,3409,25,22652.25
Tyrrell,4078,15.6,40.4,7.8,,32,12,169,35,31732,238,,636.168,1647.512,318.084,0,1300.882,489.36,1427.3,2012,362,100,0
Union,198645,8.9,12.3,10.5,18,28,8,96,21,64486,9317,110,17679.405,24433.335,20857.725,35756.1,56216.535,15891.6,41715.45,2012,35005,100,0
Vance,43056,14.2,49.3,6.8,28,33,14,449,23,34000,2520,24,6113.952,21226.608,2927.808,12055.68,14079.312,6027.84,9902.88,2012,4491,40,25833.6
Wake,897214,8.3,20.6,9,15,26,7,345,17,61594,38303,822,74468.762,184826.084,80749.26,134582.1,233275.64,62804.98,152526.38,2012,211103,91,81646.474
Warren,19425,19.2,53.1,3.1,,37,15,214,27,32574,981,3,3729.6,10314.675,602.175,0,7090.125,2913.75,5244.75,2012,1703,67,6468.525
Washington,12851,17.3,50.1,4.2,19,35,15,478,21,33293,772,4,2223.223,6438.351,539.742,2441.69,4446.446,1927.65,2698.71,2012,1439,67,4279.383
Watauga,45479,12.7,2.1,2.1,21,25,9,52,21,38923,1892,48,5775.833,955.059,955.059,9550.59,11324.271,4093.11,9550.59,2012,6788,50,22739.5
Wayne,113811,12.9,32.6,7.4,24,33,12,321,22,40274,4692,73,14681.619,37102.386,8422.014,27314.64,37557.63,13657.32,25038.42,2012,17284,63,42679.125
Wilkes,66555,17,4.1,5.6,28,30,12,63,24,34886,3966,30,11314.35,2728.755,3727.08,18635.4,19833.39,7986.6,15973.2,2012,8384,46,35806.59
Wilson,78353,14.1,39.2,9.2,16,32,13,454,25,36645,5045,39,11047.773,30714.376,7208.476,12536.48,25229.666,10185.89,19588.25,2012,9796,67,26091.549
Yadkin,37713,15.8,3.6,9.4,25,30,11,73,23,41095,1884,13,5958.654,1357.668,3545.022,9428.25,11313.9,4148.43,8673.99,2012,4456,100,0
Yancey,18548,19.9,1.1,5.9,21,27,10,57,26,36934,900,15,3691.052,204.028,1094.332,3895.08,5082.152,1854.8,4822.48,2012,1962,50,9274
